unit_id,day,kf_mgkg,eps_real_1p94_mean,eps_real_1p94_sd,n_scans,cell_thickness,source_file
1,10,91.0,1.245634940737934,0.1322083321551473,60,1.2,3月补实验/硅油10天02-202603210721.xlsx
2,10,91.0,1.5107167657116265,0.0371374573514412,71,1.2,3月补实验/硅油10天202603210331.xlsx
3,15,99.0,1.4716945439521314,0.0106160306369902,70,1.2,3月补实验/硅油15天02-202603210721.xlsx
4,15,99.0,1.284452663845392,0.0632159677494425,60,1.2,3月补实验/硅油15天202603210331.xlsx
7,30,113.0,1.3880971520252812,0.0379508134554889,70,1.2,3月补实验/硅油30天02-202603210721.xlsx
8,30,113.0,1.3661178072889406,0.1154289931317486,60,1.2,3月补实验/硅油30天202603210331.xlsx
9,3,84.0,1.274783765590139,0.0542045088743693,60,1.2,3月补实验/硅油3天02-202603210721.xlsx
10,3,84.0,1.3435061540125417,0.0626276686367617,60,1.2,3月补实验/硅油3天202603210721.xlsx
11,0,75.0,2.26904921174465,2.007835934175449,5,1.2,硅油水分_0d_01.xlsx
12,0,75.0,1.1334295270416266,1.0560292341309243,14,1.2,硅油水分_0d_02.xlsx
13,10,91.0,1.4780676628130611,0.0464694178176272,15,1.2,硅油水分_10d_01.xlsx
14,10,91.0,1.691564756677015,0.1186598928770169,31,1.2,硅油水分_10d_02.xlsx
15,15,99.0,1.8084452079853883,0.5913486490351025,5,1.2,硅油水分_15d_01.xlsx
16,15,99.0,2.7988954918545623,0.6397872537532507,10,1.2,硅油水分_15d_02.xlsx
17,15,99.0,1.3956510474171868,0.568175449138095,15,1.2,硅油水分_15d_03.xlsx
18,15,99.0,2.645107269256691,0.2594962388202331,20,1.2,硅油水分_15d_04.xlsx
19,15,99.0,1.641319592568904,0.037745922556554,31,1.2,硅油水分_15d_05.xlsx
24,30,113.0,2.3562236525148355,0.1614389605902741,30,1.2,硅油水分_30d_01.xlsx
25,3,84.0,2.421410400859288,1.2612486914001202,10,1.2,硅油水分_3d_01.xlsx
26,3,84.0,2.200480957273672,0.7102494416085285,10,1.2,硅油水分_3d_02.xlsx
27,3,84.0,2.9256462166055046,0.8214569729769104,10,1.2,硅油水分_3d_03.xlsx
28,3,84.0,1.7915645955893909,0.1655731902782763,32,1.2,硅油水分_3d_04.xlsx
29,3,84.0,2.370729352979684,0.0777692933663769,30,1.2,硅油水分_3d_05.xlsx
