unit_id,day,kf_mgkg,has_kf_reference,cell_thickness_mm,source_file,n_scans,eps_real_1p9418_mean,eps_real_1p9418_sd
1,10,91.0,True,1.2,3月补实验/硅油10天02-202603210721.xlsx,60,1.2461125315639692,0.1323962672855215
2,10,91.0,True,1.2,3月补实验/硅油10天202603210331.xlsx,71,1.5119992496135215,0.0370355773843599
3,15,99.0,True,1.2,3月补实验/硅油15天02-202603210721.xlsx,70,1.4720534638595666,0.0106406310246884
4,15,99.0,True,1.2,3月补实验/硅油15天202603210331.xlsx,60,1.2847686118511346,0.0633953581444884
5,20,,False,1.2,3月补实验/硅油20天02-202603210721.xlsx,70,1.4863559618685065,0.0396375705249362
6,20,,False,1.2,3月补实验/硅油20天202603210331.xlsx,60,1.352113965011587,0.0268879456373152
7,30,113.0,True,1.2,3月补实验/硅油30天02-202603210721.xlsx,70,1.3864566001630017,0.0379905886029923
8,30,113.0,True,1.2,3月补实验/硅油30天202603210331.xlsx,60,1.365788312136846,0.1154249350818123
9,3,84.0,True,1.2,3月补实验/硅油3天02-202603210721.xlsx,60,1.2749458657596595,0.0542366195921282
10,3,84.0,True,1.2,3月补实验/硅油3天202603210721.xlsx,60,1.342848411565133,0.0626578283898154
11,0,75.0,True,1.2,硅油水分_0d_01.xlsx,5,2.26904921174465,2.007835934175449
12,0,75.0,True,1.2,硅油水分_0d_02.xlsx,14,1.1334295270416266,1.0560292341309243
13,10,91.0,True,1.2,硅油水分_10d_01.xlsx,15,1.4780676628130611,0.0464694178176272
14,10,91.0,True,1.2,硅油水分_10d_02.xlsx,31,1.691564756677015,0.1186598928770169
15,15,99.0,True,1.2,硅油水分_15d_01.xlsx,5,1.8084452079853883,0.5913486490351024
16,15,99.0,True,1.2,硅油水分_15d_02.xlsx,10,2.798895491854562,0.6397872537532506
17,15,99.0,True,1.2,硅油水分_15d_03.xlsx,15,1.3956510474171866,0.568175449138095
18,15,99.0,True,1.2,硅油水分_15d_04.xlsx,20,2.645107269256691,0.2594962388202332
19,15,99.0,True,1.2,硅油水分_15d_05.xlsx,31,1.6413195925689037,0.037745922556554
20,20,,False,1.2,硅油水分_20d_01.xlsx,10,2.4720201420992174,0.347055013677471
21,20,,False,1.2,硅油水分_20d_02.xlsx,10,2.4535580526835994,0.2876509567476559
22,20,,False,1.2,硅油水分_20d_03.xlsx,6,2.6334004839166227,0.0803482330311258
23,20,,False,1.2,硅油水分_20d_04.xlsx,31,1.7135484111473305,0.164916282602392
24,30,113.0,True,1.2,硅油水分_30d_01.xlsx,30,2.3562236525148355,0.1614389605902742
25,3,84.0,True,1.2,硅油水分_3d_01.xlsx,10,2.421410400859288,1.2612486914001202
26,3,84.0,True,1.2,硅油水分_3d_02.xlsx,10,2.200480957273672,0.7102494416085285
27,3,84.0,True,1.2,硅油水分_3d_03.xlsx,10,2.9256462166055046,0.8214569729769103
28,3,84.0,True,1.2,硅油水分_3d_04.xlsx,32,1.7915645955893909,0.1655731902782763
29,3,84.0,True,1.2,硅油水分_3d_05.xlsx,30,2.370729352979684,0.0777692933663769
